id name
CA766                                                                           City of Los Angeles South LA Animal Shelter                                    
CA901                                                                           Fur Baby Rescue                                                                
CA2229                                                                          Amber and Adam Tarshis Foundation                                              
CA2395                                                                          Sister Sister Rescue                                                           
CA1794                                                                          Kitty Bungalow Charm School for Wayward Cats                                   
CA673                                                                           L.A. County Animal Care Control: Carson Shelter                                
CA2386                                                                          Pug Nation Rescue of LA                                                        
CA1626                                                                          Rocky's Rescue                                                                 
CA607                                                                           L.A. County Animal Care & Control: Downey                                      
CA990                                                                           SEAACA (Southeast Area Animal Control Authority)                               
CA193                                                                           Rabbit Rescue Inc.                                                             
CA1365                                                                          Happy Angels Dog Rescue                                                        
CA1910                                                                          Engelman Rescue                                                                
CA1612                                                                          Adoptables at spcaLA South Bay PAC                                             
CA1303                                                                          Ken-Mar Rescue                                                                 
CA434                                                                           The Mutt Scouts                                                                
CA1967                                                                          BraveDog Rescue                                                                
CA2031                                                                          Luxe Paws                                                                      
CA2329                                                                          The Real Bark                                                                  
CA1714                                                                          Angel City Pit Bulls                                                           
CA741                                                                           Samoyed Rescue Of Southern California                                          
CA2382                                                                          Bella Cat Rescue                                                               
CA763                                                                           City of Los Angeles North Central Animal Shelter                               
CA436                                                                           Jackie's PURRfect Match                                                        
CA2210                                                                          Please Dont Kill Me Inc                                                        
CA2224                                                                          Chews Life Dog Rescue                                                          
CA2162                                                                          SCT Retrievers                                                                 
CA1489                                                                          Smashface Rescue/Rehab                                                         
CA1522                                                                          Bark n' Bitches - Jimi's Angels                                                
CA1192                                                                          Catmandoo Rescue                                                               
CA107                                                                           Felines & Friends                                                              
CA2356                                                                          spcaLA - PetSmart Pico Rivera                                                  
CA1556                                                                          The Veterinary Care Center                                                     
CA774                                                                           Sante D'Or Foundation                                                          
CA1271                                                                          Mutt Match LA                                                                  
CA1471                                                                          Bunny World Foundation                                                         
CA2391                                                                          Friends for Life Rescue Network                                                
CA1121                                                                          Karma Rescue                                                                   
CA1221                                                                          CageFree K-9 Rescue Foundation                                                 
CA166                                                                           Adopt-A-Chow LA                                                                
CA442                                                                           Much Love Animal Rescue                                                        
CA1904                                                                          Kitt Crusaders, Inc.                                                           
CA2106                                                                          Yorkie Rescue of America                                                       
CA2271                                                                          A Purposeful Rescue                                                            
CA2309                                                                          Beople's Buddies Animal Rescue                                                 
CA114                                                                           PAL Rescue & Adoption                                                          
CA1758                                                                          Sunny Saints, Saint Bernard Dog Rescue                                         
CA1087                                                                          Dogs Without Borders                                                           
CA710                                                                           Miracle Dog Rescue                                                             
CA2058                                                                          9 Lives Rescue Center                                                          
CA1070                                                                          Miniature Schnauzers & Friends Rescue                                          
